,Open
2024-02-16,156.3539124
2024-02-17,156.284729
2024-02-18,156.26091
2024-02-19,156.2327423
2024-02-20,156.2598572
2024-02-21,156.2495575
2024-02-22,156.1790314
2024-02-23,156.0967407
2024-02-24,155.977417
2024-02-25,155.9020996
2024-02-26,155.8471985
2024-02-27,155.8157654
2024-02-28,155.7559509
2024-02-29,155.67836
2024-03-01,155.6200256
2024-03-02,155.5432129
2024-03-03,155.4194031
2024-03-04,155.2451782
2024-03-05,155.0129089
2024-03-06,154.8429565
2024-03-07,154.7393494
2024-03-08,154.6914063
2024-03-09,154.6889496
2024-03-10,154.6843262
2024-03-11,154.51828
2024-03-12,154.3781128
2024-03-13,154.282196
2024-03-14,154.2406769
2024-03-15,154.2518463
2024-03-16,154.2900085
2024-03-17,154.3352661
2024-03-18,154.3512726
2024-03-19,154.3811798
2024-03-20,154.449707
2024-03-21,154.5332336
2024-03-22,154.6383972
2024-03-23,154.7037964
2024-03-24,154.7386017
2024-03-25,154.756073
2024-03-26,154.8064575
2024-03-27,154.8441162
2024-03-28,154.8789673
2024-03-29,155.011322
2024-03-30,155.1812897
2024-03-31,155.3441315
2024-04-01,155.5092468
2024-04-02,155.7021179
2024-04-03,155.8751221
2024-04-04,155.9883118
2024-04-05,156.0439301
2024-04-06,156.0839844
2024-04-07,156.1094513
2024-04-08,156.131134
2024-04-09,156.1356201
2024-04-10,156.1386108
2024-04-11,156.1312561
2024-04-12,156.1378021
2024-04-13,156.136734
2024-04-14,156.1403046
2024-04-15,156.1692352
2024-04-16,156.1910706
2024-04-17,156.204895
2024-04-18,156.2136078
2024-04-19,156.2221985
2024-04-20,156.2445679
2024-04-21,156.261795
2024-04-22,156.265152
2024-04-23,156.249939
2024-04-24,156.2119446
2024-04-25,156.2378082
2024-04-26,156.3067627
2024-04-27,156.3855591
2024-04-28,156.4692078
2024-04-29,156.5595703
2024-04-30,156.6526642
2024-05-01,156.7356262
2024-05-02,156.7982178
2024-05-03,156.9019775
2024-05-04,157.0039673
2024-05-05,157.0467834
2024-05-06,157.0647888
2024-05-07,157.0686798
2024-05-08,157.0695648
2024-05-09,157.0753479
2024-05-10,157.0878601
2024-05-11,157.1162262
2024-05-12,157.1607056
