Date,Apple,BAC,PFE,PG,XOM,Market,Apple%,BAC%,PFE%,PG%,XOM%,Market%,,,,,
2023-03-09,154.2861633,34.36429596,58.72808838,143.1380463,87.99438477,95.70219574,0.000506225,-0.000417658,-0.000220085,3.84848E-05,4.78625E-05,0.000126444,,,,,
2023-03-10,154.3702393,34.37014008,58.75560379,143.1583862,88.00249481,95.73137283,0.000544935,0.000170064,0.000468522,0.0001421,9.21655E-05,0.000304874,,,,,
2023-03-11,154.4475708,34.36626434,58.76895142,143.167923,87.99616241,95.74937439,0.000500949,-0.000112765,0.000227172,6.66167E-05,-7.1957E-05,0.000188042,,,,,
2023-03-12,154.4955444,34.35691833,58.7754364,143.1819153,88.00256348,95.76247559,0.000310614,-0.000271953,0.000110347,9.77336E-05,7.27425E-05,0.000136828,,,,,
2023-03-13,154.5481262,34.35744476,58.75731659,143.1806183,88.01568604,95.77183838,0.000340345,1.53223E-05,-0.000308289,-9.05839E-06,0.000149116,9.7771E-05,,,,,
2023-03-14,154.6116791,34.38714218,58.73417664,143.1733704,88.01302338,95.78387833,0.000411217,0.000864366,-0.000393823,-5.06209E-05,-3.02521E-05,0.000125715,,,,,
2023-03-15,154.6801758,34.39111328,58.68003845,143.1759033,88.01132202,95.78771057,0.000443024,0.000115482,-0.000921749,1.76916E-05,-1.93307E-05,4.00093E-05,,,,,
2023-03-16,154.7067261,34.38261032,58.63304138,143.1764374,88.01663971,95.78309097,0.000171646,-0.000247243,-0.000800904,3.73008E-06,6.04205E-05,-4.82275E-05,,,,,
2023-03-17,154.6958618,34.373909,58.62509537,143.1908264,88.03849792,95.7848381,-7.02249E-05,-0.000253073,-0.000135521,0.000100499,0.000248342,1.82405E-05,,,,,
2023-03-18,154.66922,34.37742233,58.6374054,143.2018738,88.03804016,95.78479233,-0.000172221,0.000102209,0.000209979,7.71513E-05,-5.19959E-06,-4.77908E-07,,,,,
2023-03-19,154.6400452,34.38951492,58.61483002,143.2059021,88.02983856,95.77602615,-0.000188627,0.00035176,-0.000385,2.81304E-05,-9.31597E-05,-9.15195E-05,,,,,
2023-03-20,154.7341461,34.39680481,58.57823181,143.2139587,88.03044128,95.79071655,0.000608516,0.00021198,-0.000624385,5.62591E-05,6.84679E-06,0.000153383,,,,,
2023-03-21,154.8118744,34.39733887,58.61617661,143.2107544,88.02133179,95.81149521,0.000502334,1.55264E-05,0.000647763,-2.23745E-05,-0.000103481,0.000216917,,,,,
2023-03-22,154.8815918,34.41982269,58.69251251,143.20784,88.02056885,95.84446716,0.000450336,0.00065365,0.001302301,-2.03506E-05,-8.66767E-06,0.000344134,,,,,
2023-03-23,154.9601135,34.42984772,58.69991302,143.1964111,88.02592468,95.86244202,0.000506979,0.000291257,0.00012609,-7.98059E-05,6.08475E-05,0.000187542,,,,,
2023-03-24,155.0529785,34.43454361,58.70135117,143.1918945,88.02992249,95.88213806,0.000599283,0.00013639,2.44999E-05,-3.15413E-05,4.54162E-05,0.000205462,,,,,
2023-03-25,155.1407623,34.41765976,58.70960236,143.1986847,88.03095245,95.89953232,0.000566154,-0.000490317,0.000140562,4.742E-05,1.17002E-05,0.000181413,,,,,
2023-03-26,155.1782532,34.39871979,58.71910095,143.2075958,88.04315948,95.90936584,0.000241657,-0.000550298,0.000161789,6.22292E-05,0.000138667,0.00010254,,,,,
